0.3,0.2,0.1,0.05,w
12.4,14.8231802547,23.3275417009,36.5978725812,21.5294599811,
1.2,2.57681974535,3.07245829915,9.40212741883,2.87054001888,
1.2,2.57681974535,3.07245829915,9.40212741883,2.87054001888,
