0.3,1,157.4,308.4,256.4,551.6,718.2,969.8,760.8,158,51.2,17.8,7,2,1.4,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2,1,101.8,251.2,256.4,352.8,505,845.2,644,636,188.6,93.8,40.8,19.4,6.8,5.8,4.4,4,1.4,1,0.2,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,1,50.4,109.2,180.6,203.4,362.2,529.8,603.2,512.8,480.2,402.2,196.8,121.8,60.4,39,25.2,22,12.6,11.2,5.6,6.2,5.8,5.2,2.6,3.4,1.6,1.8,0.4,0.8,0.2,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.05,1,27.4,47.8,82.4,107.2,127.8,176.4,275.6,335.8,288.8,288.2,336.8,365.8,307.8,224.4,184,177.6,126.8,92.8,70.8,61.4,36.2,30.8,26.6,22.2,16.4,18.8,12.6,13.2,8.4,7.6,5.8,5.4,4,4.2,3.8,4.2,1.8,3,2.2,2.4,1.8,1,1.6,1.6,0.4,1,0.4,1.2,1,0.6,0.8,0.4,2,0.4,0.6,0.6,0.2,0.4,0.2,0.4,0.2,0.2,0.8
w,1,138.6,466.4,192.6,329.4,521.8,601.8,553.2,412.8,267.4,194.8,136.4,67.4,23.4,12.8,8.8,6.6,5.8,3.4,4,1.4,1.6,1.4,0.8,0.6,0.8,0.4,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
