0.3,0.2,0.1,0.05,w
1.0,1.0,1.0,1.0,1.0,
319.4,205.6,109.4,53.4,202.2,
876.0,741.6,410.2,189.4,695.6,
859.4,638.2,473.4,389.6,420.8,
811.2,811.0,435.8,380.6,722.2,
521.8,778.8,677.4,395.4,773.0,
262.0,340.8,670.4,367.4,476.6,
95.6,160.2,324.4,268.8,258.6,
76.2,94.2,196.2,269.0,103.6,
57.0,70.4,126.4,255.4,61.6,
40.0,38.2,60.4,178.4,58.0,
22.4,15.0,41.6,135.0,32.8,
3.4,5.4,33.0,98.2,20.8,
0.6,3.0,25.2,72.2,14.0,
0.0,0.6,20.0,50.8,5.6,
0.0,0.6,18.8,38.0,1.8,
0.0,0.0,11.0,29.2,0.2,
0.0,0.0,5.2,21.2,0.8,
0.0,0.0,1.4,20.4,0.2,
,0.0,0.6,11.8,0.0,
,0.0,0.2,7.2,0.0,
,,0.4,5.4,0.0,
,,0.0,3.0,0.0,
,,0.0,1.4,0.0,
,,0.0,1.4,,
,,0.0,0.4,,
,,0.0,0.6,,
,,,0.4,,
,,,0.0,,
,,,0.2,,
,,,0.0,,
,,,0.0,,
,,,0.2,,
,,,0.0,,
,,,0.0,,
,,,0.0,,
,,,0.0,,
,,,0.0,,
