0.3,0.2,0.1,0.05,w
1.0,1.0,1.0,1.0,1.0,
217.2,140.8,73.0,32.6,171.8,
508.0,497.2,342.4,143.4,191.4,
321.8,295.0,262.2,305.2,263.2,
828.4,590.8,192.8,167.4,221.0,
754.8,598.6,457.8,173.6,341.6,
507.8,607.0,486.6,280.2,597.0,
384.8,454.8,437.0,296.6,637.0,
222.8,260.2,453.8,285.0,405.0,
95.6,154.2,384.0,289.0,349.0,
58.8,109.2,250.6,271.6,329.2,
40.2,69.0,147.8,264.8,147.0,
11.0,59.8,85.6,218.2,101.2,
3.0,44.0,54.4,170.0,56.6,
1.0,25.8,32.2,135.2,31.2,
0.0,11.8,20.0,93.4,21.2,
0.0,4.2,10.8,71.4,13.8,
0.0,2.2,6.2,50.8,6.0,
0.0,1.0,5.0,47.2,3.6,
0.0,1.0,3.4,38.8,0.6,
,0.2,1.2,33.2,0.0,
,0.0,1.2,20.4,0.0,
,0.0,2.0,17.0,0.0,
,0.0,2.0,12.8,0.0,
,0.0,9.0,7.6,0.0,
,0.0,11.4,3.4,,
,,8.8,2.4,,
,,4.2,1.6,,
,,1.4,1.0,,
,,0.8,0.8,,
,,0.4,0.0,,
,,0.0,0.0,,
,,0.0,0.0,,
,,0.0,0.0,,
,,0.0,0.0,,
,,0.0,,,
