authority_score,betweenness,closeness
5.65826578243e-06,1248254.0,3.75723565776,
4.26564799057e-08,8.0,2.09429439024,
7.2562436474e-09,0.0,2.36923970174,
5.62008796179e-08,0.0,2.09027762876,
7.2314296157e-09,0.0,2.36923970174,
8.45011880508e-08,42.0,2.2356196951,
5.05496202751e-09,0.0,2.6456130097,
1.05000972351e-05,0.0,2.01426967893,
6.11673563143e-09,0.0,2.48916506064,
3.35645716463e-07,0.0,1.70379990189,
6.34264392615e-08,3.0,2.37047541008,
1.3307652734e-07,1.0,1.78479301692,
9.36868703541e-09,0.0,2.1543907025,
8.21746327272e-09,5.0,2.42756573027,
8.52276169399e-09,0.0,2.22982052905,
9.23901947797e-09,8.0,2.12427972247,
9.30315822688e-09,0.0,2.15428055712,
5.41833974039e-06,1.0,2.18064227734,
1.12058751275e-07,3942.0,2.32358303979,
9.44526376167e-09,43.0,2.13509411221,
1.09028327437e-08,0.0,2.12044110299,
2.69190551309e-07,4001.0,2.14518300844,
4.0598000812e-07,0.0,1.53996457497,
1.41637983576e-08,0.0,2.74612156367,
8.55337104929e-09,0.0,2.22976883219,
1.10128837497e-08,12.0,2.23221320123,
9.06131520702e-08,29.0,2.09402438351,
1.4991932831e-07,1.0,1.93638238367,
5.07996695636e-09,0.0,2.6456130097,
1.70471073694e-09,0.0,3.2798439481,
1.10459654445e-08,0.0,3.46197584192,
1.71071236127e-09,0.0,3.27986739991,
8.4439476302e-09,0.0,2.31836417699,
4.62250473017e-08,7845.0,2.43043963431,
2.8068459658e-08,15.0,2.15837398096,
2.39183783906e-07,19.0,2.36414971945,
1.21586400278e-08,0.0,1.91189978311,
1.70471073694e-09,0.0,3.2798439481,
5.09440609164e-09,0.0,2.6456130097,
6.89093383373e-08,2.0,2.2740737409,
4.42419307641e-09,0.0,2.7460683471,
1.71960786061e-09,0.0,3.2798439481,
3.03046766855e-08,64.0,1.96220070433,
3.61906767432e-09,0.0,2.87082546908,
2.05270344392e-08,1.0,2.32092695186,
6.56346163031e-09,0.0,2.56191876672,
1.70868749433e-09,0.0,3.2798439481,
6.03267418907e-08,75.0,1.9078060012,
6.92037328292e-09,3852.0,2.49162959261,
1.06706366627e-07,0.0,2.08972263534,
6.08473645012e-06,9.0,2.18940441297,
2.74254064117e-08,8.0,2.1612190852,
5.99253835533e-09,26637.0,3.433523534,
4.14731151946e-08,0.0,2.03173751433,
4.76337733687e-08,3876.0,2.49080554328,
2.79198102823e-09,753.333333333,3.03602731493,
1.20732801477e-07,7.0,1.87736528214,
1.77453843521e-08,3871.0,2.6465110921,
6.23649912981e-09,0.0,2.56150356654,
2.75904429516e-08,53.0,2.27851013976,
1.49493669558e-07,0.0,2.15486814467,
7.24798477761e-06,61.0,2.03682096911,
6.71209444865e-09,0.0,2.42572036979,
3.47845880939e-08,3892.0,2.37133168936,
1.70991061629e-09,0.0,3.2798439481,
2.8091351214e-09,0.0,3.03569045557,
6.83985850851e-08,0.0,1.91492473641,
8.00043663119e-09,6.0,2.37122234958,
8.60943746857e-08,1.0,2.19183704024,
3.08219648448e-09,5750.75,3.03632149784,
5.82776919156e-09,1.0,2.64622034727,
6.77900665015e-09,0.0,2.42572036979,
3.72009381104e-08,1.0,2.27350512249,
3.50519981206e-08,15.0,2.5046395998,
2.78795537906e-09,0.0,3.03569045557,
7.57867084993e-08,66.0,1.86580838471,
6.56346163031e-09,0.0,2.56191876672,
1.92795758176e-08,62.0,2.2351330884,
4.09685348058e-08,0.0,2.1919740959,
5.08533361252e-09,0.0,2.6456130097,
1.03988629115e-05,1.0,2.23334727809,
5.14590950311e-08,47.0,2.18783135917,
6.1196995087e-09,0.0,2.48946962273,
1.7069112672e-09,0.0,3.2798439481,
6.11673563143e-09,0.0,2.48916506064,
1.30329941722e-08,0.0,1.97939557028,
6.19991255423e-09,0.0,2.48921519032,
2.34952738184e-08,33.0,2.03425460972,
5.04006784781e-09,0.0,2.6456130097,
1.50408145945e-08,3814.0,2.43058303572,
2.78983271002e-09,0.0,3.03572990315,
2.7900895669e-07,0.0,1.63950680245,
8.42064993522e-09,0.0,2.23017376788,
7.36855156355e-09,3912.0,2.42633771422,
1.21731553524e-08,0.0,2.03135452735,
5.08168841387e-09,0.0,2.6456130097,
6.95370748822e-06,28.0,2.13533153821,
2.04662342094e-07,0.0,1.76883273091,
4.65641799784e-08,0.0,2.19186481052,
1.28232395971e-08,3964.0,2.49316804841,
1.67893806158e-05,6159868.0,3.79770646949,
2.2669141182e-08,0.0,2.23028027318,
2.63219812062e-07,2.0,1.73327109128,
4.41314378405e-09,0.0,2.7460683471,
8.7801927187e-09,0.0,2.19062529837,
2.809997188e-09,0.0,3.03569045557,
2.1446277018e-07,0.0,1.73786821362,
1.13074245567e-08,0.0,2.16614596148,
1.0063197991e-08,0.0,2.0903537179,
8.88717365812e-09,17.0,2.64815816739,
1.47091512682e-07,3.0,2.28147280563,
1.98033247377e-07,117.0,2.43881219938,
2.29088854738e-06,343.0,2.88410780327,
5.40476579632e-08,7788.0,2.27622344999,
6.70376111163e-06,72.0,2.07554963187,
8.29949421767e-08,1.0,2.0612992775,
3.78347762924e-09,3947.0,2.87192608318,
4.58650326628e-06,3934.0,2.87714964431,
2.06802743446e-08,0.0,2.56173455384,
2.26450191056e-08,0.0,2.12122242898,
1.97135260059e-07,1.0,1.83816761054,
7.29210092257e-08,0.0,2.56170512876,
4.42426736358e-08,80.0,2.12897261213,
5.68928483599e-09,0.0,2.56150356654,
4.09663196239e-08,28.0,2.12713775306,
6.96482636842e-08,2.0,2.12290291789,
1.07267375757e-07,0.0,2.03253501905,
7.87183085751e-09,0.0,2.36923970174,
0.0068110769679,24427.0,2.75830809967,
9.5160246088e-09,0.0,2.12050571675,
1.71075868718e-09,0.0,3.28002715208,
7.37013341775e-09,0.0,2.42572036979,
7.74107084683e-09,0.0,2.31836417699,
1.17124480575e-07,5.0,2.109010701,
3.38198676296e-07,0.0,1.62464664549,
7.97192345505e-09,0.0,2.27211111366,
9.32926540952e-09,0.0,2.15557242405,
1.7069112672e-09,0.0,3.2798439481,
4.37508940065e-06,140.0,2.38412248866,
5.05496202751e-09,0.0,2.6456130097,
3.39359877328e-08,37.0,2.01295855832,
8.98535566502e-09,0.0,2.19057665372,
1.6750252207e-08,3914.0,2.32050511918,
5.67259031714e-09,0.0,2.56150356654,
9.19422819022e-09,3807.0,2.74799513313,
1.90792907735e-09,3942.0,3.28005438051,
1.70931671999e-09,0.0,3.2798439481,
2.7904437015e-09,2369.33333333,3.03602731493,
3.99764916864e-06,94.0,2.29046776541,
2.78866381578e-09,0.0,3.03569045557,
1.09246760895e-07,120.0,1.90123730221,
2.43334451023e-08,3909.0,2.19469395327,
1.75174804099e-09,0.0,3.2798439481,
2.42308407431e-07,34.0,1.89929441242,
6.21485853347e-09,0.0,2.48916506064,
5.24586446838e-09,3876.0,2.64722248649,
7.81910302791e-09,7780.0,3.03673528661,
