'0.1', 1, 3718, 23
'0.1', 2, 3535, 23
'0.1', 3, 3726, 27
'0.1', 4, 3667, 22
'0.1', 5, 3671, 22
'w', 1, 3869, 15
'w', 2, 3858, 18
'w', 3, 3825, 17
'w', 4, 3855, 16
'w', 5, 3871, 16

